Flight No,Departure Time,Arrival Time,Duration,Prices,Baggage,From,To,Scraped Date,Route
U4 701,08:00,08:35,35m,"NPR 5,399.99 | NPR 5,576.99",N/A,Kathmandu,Biratnagar,2026-01-07 16:11:02,KTM-BIR
U4 705,12:00,12:35,35m,"NPR 5,399.99 | NPR 5,576.99",N/A,Kathmandu,Biratnagar,2026-01-07 16:11:03,KTM-BIR
U4 707,13:45,14:20,35m,"NPR 5,399.99 | NPR 5,576.99",N/A,Kathmandu,Biratnagar,2026-01-07 16:11:04,KTM-BIR
U4 709,15:00,15:35,35m,"NPR 5,399.99 | NPR 5,576.99",N/A,Kathmandu,Biratnagar,2026-01-07 16:11:04,KTM-BIR
U4 711,16:55,17:30,35m,"NPR 5,399.99 | NPR 5,576.99",N/A,Kathmandu,Biratnagar,2026-01-07 16:11:05,KTM-BIR
U4 713,18:05,18:40,35m,"NPR 5,399.99 | NPR 5,576.99",N/A,Kathmandu,Biratnagar,2026-01-07 16:11:05,KTM-BIR
U4 715,19:00,19:35,35m,"NPR 5,399.99 | NPR 5,576.99",N/A,Kathmandu,Biratnagar,2026-01-07 16:11:06,KTM-BIR
